case,fold,filename,iou,n_polygons,call_seconds,error,notes
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.5413465056714234,1,4.0,"","Red solid outline around a rectangular plot labelled 'Old Bottom Free Down'."
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,0.7182952597376709,1,6.77,"","Solid red colour fill area denoting the planning permission boundary."
10,4,10.png,0.6516110876600535,1,3.25,"","Red solid outline for a small rectangular region southeast of Hooton Mount Cottage"
11,2,11.png,0.9362871801953025,1,3.54,"","Traced the thick dashed line outlining the open, square plot of land in the center of the image."
115,3,115.png,0.7386642372333024,1,8.92,"","red solid outline around the site"
118,4,118.png,0.745792974155247,1,3.93,"","Red solid outline around a property named 41 Linden Grove."
12:00114:ART4,1,12_00114_ART4.png,0.3752091589608102,5,8.35,"","Five non-contiguous shaded regions designating the affected properties, drawn as parallel cross hatching."
12:00115:ART4,2,12_00115_ART4.png,0.4479263283423877,1,3.61,"","Traced the thick red line denoting the boundary along the edge of the plots marked 126 to 134."
12:00116:ART4,3,12_00116_ART4.png,0.7587297430680754,1,5.31,"","Red solid outline around the field east of the church and library"
12:00117:ART4,2,12_00117_ART4.png,0.9077582981452776,1,3.66,"","Traced the red solid line boundary enclosing a rectangular parcel of land."
12:00120:ART4,4,12_00120_ART4.png,0.11180215715478159,1,3.57,"",""
12:00121:ART4,1,12_00121_ART4.png,0.07625420542252127,1,4.72,"","Traced the thick solid black outline around the field labelled 7790 located east of Hill House Road."
12:00122:ART4,2,12_00122_ART4.png,0.4600402755381837,3,4.91,"","Three sets of red markings representing multiple boundaries, all consisting of individual parallel drawn red lines showi"
12:00124:ART4,3,12_00124_ART4.png,0.5034798617035607,18,9.58,"","Red pen outlines tracing individual properties/plots."
12:00125:ART4,4,12_00125_ART4.png,0.35268065885010014,1,4.76,"","Red outline with hatching around the site boundaries"
12:00126:ART4,1,12_00126_ART4.png,0.3863550491105393,11,10.86,"","Traced multiple hathed regions corresponding to the given legend"
12:00127:ART4,2,12_00127_ART4.png,0.9007457593940399,2,4.11,"","Two red outlined, black cross-hatched shapes in a field."
12:00128:ART4,3,12_00128_ART4.png,0.4431038417753263,2,9.29,"","Traced the thick solid red line boundary defining two disjoint regions of land over the map."
12:00129:ART4,4,12_00129_ART4.png,0.8486655883542257,1,7.79,"","Traced the solid blue outline defining the site boundary."
12:00130:ART4,0,12_00130_ART4.png,0.2485884101040119,1,4.23,"","Red solid line trace around a property on Riverside near Denmark Bridge."
